;non_unique_name;non_unique_address;multiple_hits;no_hits;error
Spar Österreichische Warenhandels-Akti;True;True;True;;
Wiener Krankenanstaltenverbund;True;True;;True;
Österreichische Post Aktiengesellschaf;True;True;True;;
Telekom Austria Aktiengesellschaft;True;True;True;;
Hofer Kommanditgesellschaft;True;True;True;;
Hilfswerk Österreich (Kurz: Hwö);True;True;True;True;
Universität Wien;True;True;True;;
Allgemeines Krankenhaus Der Stadt Wien;True;True;True;True;
Egger Holzwerkstoffe Gmbh;True;True;True;;
Magistrat Der Stadt Wien Ma 10 - Wiene;True;True;;True;
Siemens Aktiengesellschaft Österreich;True;True;True;;
Semperit Aktiengesellschaft Holding;True;True;True;;
Borealis Ag;True;True;True;True;
Trenkwalder Personaldienste Gmbh;True;True;True;;
Pensionsversicherungsanstalt;True;True;;True;
Alpine Bau Gmbh;True;True;True;;
Magistrat Der Landeshauptstadt Linz;True;True;;True;
Allgemeine Unfallversicherungsanstalt;True;True;;True;
Arbeitsmarktservice Österreich;True;True;True;True;
Österreichische Ordensprovinz Der Barm;True;True;True;True;
Raiffeisen-Holding Niederösterreich-Wi;True;True;True;;
Medizinische Universität Wien;True;True;True;True;
Raiffeisenlandesbank Oberösterreich Ak;True;True;True;;
Österreichische Kinderfreunde;True;True;True;True;
Arbeiter-Samariter-Bund Österreichs;True;True;True;;
Technische Universität Wien;True;True;True;True;
Leopold Franzens Universität Innsbruck;True;True;;True;
Lidl Österreich Gmbh;True;True;True;True;
Energie Ag Oberösterreich;True;True;True;;
Diözese Gurk;True;True;True;True;
Karl-Franzens-Universität Graz;True;True;True;True;
Greiner Holding Ag;True;True;True;True;
Österreichischer Rundfunk;True;True;True;True;
Polytec Holding Ag;True;True;True;;
Land Steiermark;True;True;True;True;
Öbb-Postbus Gmbh;True;True;True;True;
Fronius International Gmbh;True;True;True;;
Stadt Wien - Wiener Wohnen;True;True;True;True;
S&T Ag;True;True;True;True;
Sandoz Gmbh;True;True;True;;
Österreichischer Automobil-, Motorrad-;True;True;True;True;
Wiener Städtische Versicherung Ag Vien;True;True;True;;
Evangelisches Diakoniewerk Gallneukirc;True;True;True;True;
Magistrat Der Stadt Graz;True;True;True;True;
Öbb-Technische Services-Gesellschaft M;True;True;True;;
Technische Universität Graz;True;True;True;True;
Baxter Aktiengesellschaft;True;True;True;;
Facc Ag;True;True;True;;
Krankenhaus Hietzing Mit Neurologische;True;True;True;True;
Gebauer & Griller Kabelwerke Gesellsch;True;True;True;;
Universitätsklinikum St. Pölten;True;True;;True;
Wilhelminenspital Der Stadt Wien;True;True;True;True;
Kuratorium Wiener Pensionisten-Wohnhäu;True;True;True;True;
Kommando Einsatzunterstützung (Kdoeu);True;True;;True;
Head Holding Unternehmensbeteiligung G;True;True;True;True;
Sozialmedizinisches Zentrum Ost;True;True;True;True;
Öbb-Personenverkehr Aktiengesellschaft;True;True;True;;
H & M Hennes & Mauritz Gesmbh;True;True;True;;
Wüstenrot Wohnungswirtschaft Registrie;True;True;True;;
Magistratsdirektion Der Stadt Salzburg;True;True;;True;
Johannes Kepler Universität Linz;True;True;True;;
Rudolf Leiner Gesellschaft M.B.H.;True;True;True;;
Erste Bank Der Oesterreichischen Spark;True;True;True;;
Österreichische Kinderfreunde - Landes;True;True;;True;
International Atomic Energy Agency;True;True;True;True;
Wolf Holding Gmbh;True;True;True;;
P. Dussmann Gesellschaft M.B.H.;True;True;;True;
Krankenanstalt Rudolfstiftung Mit Depa;True;True;;True;
Landesklinikum Wiener Neustadt;True;True;;True;
Berufsförderungsinstitut Oberösterreic;True;True;True;True;
Sozialmedizinisches Zentrum Süd - Kais;True;True;True;True;
Verein Zur Förderung Von Arbeit Und Be;True;True;True;True;
Bundesministerium Für Landesverteidigu;True;True;True;True;
Oberösterreichische Gebietskrankenkass;True;True;;True;
Österreichischer Gewerkschaftsbund;True;True;True;True;
Oberbank Ag;True;True;True;;
Der Bauern Sozialversicherungsanstalt;True;True;True;True;
Mahle Filtersysteme Austria Gmbh;True;True;True;;
Strabag Liegenschaftsverwaltung Gmbh;True;True;True;True;
Magistrat Der Landeshauptstadt Klagenf;True;True;True;True;
Glock Gesellschaft M.B.H.;True;True;True;;
United Nations Office At Vienna;True;True;True;True;
Medizinische Universität Graz;True;True;True;True;
Universität Für Bodenkultur Wien;True;True;;True;
Delta Beteiligungs-Aktiengesellschaft;True;True;;True;
Hbb-Haas Beratung Und Beteiligungen Gm;True;True;True;True;
Magistrat Der Stadt Wien Ma 11 - Amt F;True;True;;True;
Sozialversicherungsanstalt Der Gewerbl;True;True;True;True;
Wien Holding Gmbh;True;True;True;True;
Eglo Leuchten Gmbh;True;True;True;;
Vers.-Anstalt Öffentl. Bediensteter;True;True;True;True;
Landesklinikum Mistelbach-Gänserndorf;True;True;True;True;
Internorm Bauelemente Gmbh;True;True;True;True;
Medizinische Universität Innsbruck;True;True;;True;
Salesianer Miettex Gmbh;True;True;True;True;
Sos-Kinderdorf;;;;;True
Kastner & Öhler Beteiligungs-Aktienges;True;True;True;True;
Siemens Personaldienstleistungen Gmbh;True;True;True;;
Forsttechnischer Dienst Für Wildbach- ;True;True;True;True;
Pfeifer Holding Gmbh;True;True;True;;
Hanusch Krankenhaus Der Wiener Gebiets;True;True;;True;
Tiwag-Tiroler Wasserkraft Ag;True;True;True;;
Voestalpine Stahl Donawitz Gmbh;True;True;True;;
Veterinärmedizinische Universität Wien;True;True;True;True;
Knill Energy Holding Gmbh;True;True;True;;
Stadtgemeinde Innsbruck;True;True;True;True;
Lorenz Shoe Group Gmbh;True;True;True;;
Hornbach Baumarkt Gmbh;True;True;;True;
Mediaprint Zeitungs- Und Zeitschriften;True;True;True;True;
Libro Handelsgesellschaft Mbh;True;True;True;;
Bundesministerium Für Europa, Integrat;True;True;True;True;
T-Mobile Austria Gmbh;True;True;True;;
Oesterreichische Nationalbank;;;;;True
Ing. Hans Bodner Baugesellschaft M.B.H;True;True;True;True;
Unimarkt Handelsgesellschaft M.B.H. & ;True;True;True;;
Wirtschaftsuniversität Wien;True;True;True;True;
Raiffeisenlandesbank Niederösterreich-;True;True;True;True;
Maximarkt Handels-Gesellschaft M.B.H.;True;True;True;;
Arbeitsmarktservice Österreich, Landes;True;True;True;True;
Ganahl Aktiengesellschaft;True;True;True;;
Österreichische Bundesforste Ag;True;True;True;;
Stadtgemeinde St. Pölten;True;True;True;True;
Bausparkasse Wüstenrot Aktiengesellsch;True;True;True;;
